pageup||kbd:[PPAGE]||Go up one page in the list.
pagedown||kbd:[NPAGE]||Go down one page in the list.
halfpageup||n/a||Go up half a page.
halfpagedown||n/a||Go down half a page.
home||kbd:[HOME]||Go to the first item in the list.
end||kbd:[END]||Go to the last item in the list.
macro-prefix||kbd:[,]||Initiate macro execution. The next key press selects the actual macro and runs it.
switch-focus||kbd:[TAB]||Switch focus between widgets. This is currently only applicable to the `filebrowser` and `dirbrowser` contexts.
goto-title||n/a||Go to item whose title contains the specified string (case-insensitive).
prevsearchresults||kbd:[Z]||Return to previous search results (if any). This only works from `searchresultslist`.
article-feed||n/a||Go to the feed of the currently selected article.
